symbol,company_name
ADHI.JK,PT Adhi Karya (Persero) Tbk
AGRO.JK,PT Bank Raya Indonesia Tbk
ANTM.JK,Aneka Tambang Tbk
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk
BJBR.JK,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk
BJTM.JK,Bank Pembangunan Daerah Jawa Timur Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
BRIS.JK,PT Bank Syariah Indonesia Tbk
ELSA.JK,Elnusa Tbk
JSMR.JK,PT Jasa Marga Tbk
MTEL.JK,PT Dayamitra Telekomunikasi Tbk
PGAS.JK,PT Perusahaan Gas Negara Tbk
PGEO.JK,PT Pertamina Geothermal Energy Tbk
PTBA.JK,Bukit Asam Tbk
PTPP.JK,PP (Persero) Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
TINS.JK,PT Timah Tbk
TLKM.JK,PT Telkom Indonesia (Persero) Tbk
