symbol,company_name
AMMN.JK,PT Amman Mineral Internasional Tbk.
ANTM.JK,Aneka Tambang Tbk.
BBCA.JK,PT Bank Central Asia Tbk.
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk
BBYB.JK,PT Bank Neo Commerce Tbk.
BKSL.JK,Sentul City Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
BRIS.JK,PT Bank Syariah Indonesia Tbk
BRMS.JK,Bumi Resources Minerals Tbk
BRPT.JK,Barito Pacific Tbk
CTRA.JK,Ciputra Development Tbk
ERAA.JK,Erajaya Swasembada Tbk
ESSA.JK,ESSA Industries Indonesia Tbk
HRTA.JK,PT Hartadinata Abadi Tbk
INCO.JK,Vale Indonesia Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
KIJA.JK,Kawasan Industri Jababeka Tbk
MAPA.JK,PT MAP Aktif Adiperkasa Tbk
MAPI.JK,Mitra Adiperkasa Tbk
MBMA.JK,PT Merdeka Battery Materials Tbk
MDKA.JK,PT Merdeka Copper Gold Tbk
NCKL.JK,PT Trimegah Bangun Persada Tbk
PANI.JK,PT Pantai Indah Kapuk Dua Tbk.
PNLF.JK,Panin Financial Tbk
PWON.JK,Pakuwon Jati Tbk
SCMA.JK,Surya Citra Media Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
TPIA.JK,PT Chandra Asri Pacific Tbk
