symbol,company_name
AADI.JK,PT Adaro Andalan Indonesia Tbk
ACES.JK,PT Aspirasi Hidup Indonesia Tbk
ADMR.JK,PT Alamtri Minerals Indonesia Tbk
ADRO.JK,Alamtri Resources Indonesia Tbk
AKRA.JK,PT AKR Corporindo Tbk.
AMMN.JK,PT Amman Mineral Internasional Tbk.
AMRT.JK,PT Sumber Alfaria Trijaya Tbk.
ANTM.JK,Aneka Tambang Tbk.
ARCI.JK,PT Archi Indonesia Tbk
ARTO.JK,PT Bank Jago Tbk.
ASII.JK,Astra International Tbk
BBCA.JK,PT Bank Central Asia Tbk.
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk
BBYB.JK,PT Bank Neo Commerce Tbk.
BKSL.JK,Sentul City Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
BREN.JK,PT Barito Renewables Energy Tbk.
BRIS.JK,PT Bank Syariah Indonesia Tbk
BRMS.JK,Bumi Resources Minerals Tbk
BRPT.JK,Barito Pacific Tbk
BSDE.JK,PT Bumi Serpong Damai Tbk
BTPS.JK,PT Bank BTPN Syariah Tbk.
BUKA.JK,PT Bukalapak.com Tbk
BULL.JK,PT Buana Lintas Lautan Tbk.
BUMI.JK,Bumi Resources Tbk
BUVA.JK,PT Bukit Uluwatu Villa Tbk
CBDK.JK,PT Bangun Kosambi Sukses Tbk
CMRY.JK,PT Cisarua Mountain Dairy Tbk
CPIN.JK,Charoen Pokphand Indonesia Tbk
CTRA.JK,Ciputra Development Tbk
CUAN.JK,PT Petrindo Jaya Kreasi Tbk
DEWA.JK,Darma Henwa Tbk
DSNG.JK,PT Dharma Satya Nusantara Tbk
DSSA.JK,Dian Swastatika Sentosa Tbk
ELSA.JK,Elnusa Tbk
EMTK.JK,Elang Mahkota Teknologi Tbk
ENRG.JK,Energi Mega Persada Tbk
ERAA.JK,Erajaya Swasembada Tbk
ESSA.JK,ESSA Industries Indonesia Tbk
EXCL.JK,PT XLSMART Telecom Sejahtera Tbk
FILM.JK,PT MD Entertainment Tbk
GOTO.JK,PT GoTo Gojek Tokopedia Tbk
HEAL.JK,PT Medikaloka Hermina Tbk
HMSP.JK,HM Sampoerna Tbk
HRTA.JK,PT Hartadinata Abadi Tbk
HRUM.JK,Harum Energy Tbk
ICBP.JK,Indofood CBP Sukses Makmur Tbk
IMPC.JK,PT Impack Pratama Industri Tbk
INCO.JK,Vale Indonesia Tbk
INDF.JK,Indofood Sukses Makmur Tbk
INDY.JK,Indika Energy Tbk
INET.JK,PT Sinergi Inti Andalan Prima Tbk
INKP.JK,Indah Kiat Pulp & Paper Tbk
INTP.JK,Indocement Tunggal Prakarsa Tbk
ISAT.JK,PT Indosat Tbk
ITMG.JK,Indo Tambangraya Megah Tbk
JPFA.JK,JAPFA Comfeed Indonesia Tbk
JSMR.JK,PT Jasa Marga Tbk
KIJA.JK,Kawasan Industri Jababeka Tbk
KLBF.JK,Kalbe Farma Tbk
KPIG.JK,MNC Tourism Indonesia Tbk
MAPA.JK,PT MAP Aktif Adiperkasa Tbk
MAPI.JK,Mitra Adiperkasa Tbk
MBMA.JK,PT Merdeka Battery Materials Tbk
MDKA.JK,PT Merdeka Copper Gold Tbk
MEDC.JK,PT Medco Energi Internasional Tbk
MIKA.JK,PT Mitra Keluarga Karyasehat Tbk
MTEL.JK,PT Dayamitra Telekomunikasi Tbk
MYOR.JK,Mayora Indah Tbk
NCKL.JK,PT Trimegah Bangun Persada Tbk
PANI.JK,PT Pantai Indah Kapuk Dua Tbk.
PGAS.JK,PT Perusahaan Gas Negara Tbk
PGEO.JK,PT Pertamina Geothermal Energy Tbk
PNLF.JK,Panin Financial Tbk
PSAB.JK,J Resources Asia Pasifik Tbk
PTBA.JK,Bukit Asam Tbk
PTRO.JK,Petrosea Tbk
PWON.JK,Pakuwon Jati Tbk
RAJA.JK,Rukun Raharja Tbk
RATU.JK,PT Raharja Energi Cepu Tbk
SCMA.JK,Surya Citra Media Tbk
SGER.JK,PT Sumber Global Energy Tbk
SIDO.JK,PT Industri Jamu Dan Farmasi Sido Muncul Tbk
SMGR.JK,Semen Indonesia (Persero) Tbk
SMIL.JK,PT Sarana Mitra Luas Tbk
SMRA.JK,PT Summarecon Agung Tbk
SSIA.JK,PT Surya Semesta Internusa Tbk
TAPG.JK,PT Triputra Agro Persada Tbk
TCPI.JK,PT Transcoal Pacific Tbk
TINS.JK,PT Timah Tbk
TLKM.JK,PT Telkom Indonesia (Persero) Tbk
TOBA.JK,PT TBS Energi Utama Tbk
TOWR.JK,Sarana Menara Nusantara Tbk
TPIA.JK,PT Chandra Asri Pacific Tbk
UNTR.JK,United Tractors Tbk
UNVR.JK,Unilever Indonesia Tbk
WIFI.JK,PT Solusi Sinergi Digital Tbk
WIRG.JK,PT Wir Asia Tbk
